bologna_sum_cs,Ha SUOLO CONSUMATO PER KM2,Annual
4265,11.942,17.1325069871
406,1.1368,16.5893936364
1723,4.8244,16.8725818628
6888,19.2864,17.6964787023
5023,14.0644,16.9254333762
5038,14.1064,17.0467634393
15280,42.784,17.3109284914
14063,39.3764,17.4597105683
7876,22.0528,17.1728626997
2475,6.93,16.7635547798
1176,3.2928,16.5571010401
1615,4.522,16.4242031524
2904,8.1312,16.5779433367
3429,9.6012,16.941972125
6950,19.46,17.3536208469
13380,37.464,17.6927548485
23919,66.9732,17.9352424912
20865,58.422,17.9259796003
6454,18.0712,17.4688169354
5430,15.204,17.446410381
7987,22.3636,17.6151132224
18793,52.6204,17.8072906742
12057,33.7596,17.6159428359
3971,11.1188,16.9214656532
2957,8.2796,16.5746147012
1531,4.2868,16.565513321
2268,6.3504,16.6549245863
3005,8.414,16.4892766384
3099,8.6772,16.8476592338
11423,31.9844,17.4334887464
15556,43.5568,17.8368364232
6677,18.6956,17.982254389
11831,33.1268,17.9460015904
4151,11.6228,17.8553590533
9415,26.362,17.9028988784
11845,33.166,17.9854399782
12135,33.978,18.1719318433
17815,49.882,18.188741524
12775,35.77,17.9349710908
5101,14.2828,17.4372919866
2285,6.398,17.1449810708
5943,16.6404,17.239769866
8155,22.834,17.3394419376
7417,20.7676,17.2677083213
2056,5.7568,16.6307073119
2030,5.684,16.7452047923
5202,14.5656,17.0876799218
8926,24.9928,17.6008337076
13691,38.3348,17.9141228993
16106,45.0968,18.1413626505
12311,34.4708,18.257261166
13071,36.5988,18.4049381745
17205,48.174,18.5757313792
20605,57.694,18.6990743799
22545,63.126,18.6446124294
26464,74.0992,18.4426798224
17928,50.1984,18.1026972684
6568,18.3904,17.8733425524
13663,38.2564,17.7802262561
20850,58.38,17.8705864185
15290,42.812,17.8649268735
8641,24.1948,17.4428580077
960,2.688,17.2746073598
1494,4.1832,17.2694137007
10108,28.3024,17.5836355192
9338,26.1464,17.8357081632
19232,53.8496,18.0125224839
18475,51.73,18.173518264
23365,65.422,18.2054094587
26851,75.1828,18.4526369066
30961,86.6908,18.637655148
28154,78.8312,18.6808280681
21308,59.6624,18.5585536967
16556,46.3568,18.3361618811
8518,23.8504,18.0986221425
16268,45.5504,17.9487333982
17452,48.8656,17.7138973333
15123,42.3444,17.4625711608
6036,16.9008,17.5465036399
9972,27.9216,17.191774722
12512,35.0336,17.0326094946
18528,51.8784,17.0417649051
21091,59.0548,17.233903928
34439,96.4292,17.5539784452
35060,98.168,17.8834229637
23840,66.752,18.0921235317
23259,65.1252,18.1826713081
15086,42.2408,18.0859298051
15842,44.3576,17.8355756646
4263,11.9364,17.4299282298
3131,8.7668,17.1121289884
1004,2.8112,16.8408505741
1382,3.8696,16.1431503581
1508,4.2224,15.9400602747
3313,9.2764,15.9272491988
3236,9.0608,16.0994371446
9864,27.6192,16.4026830708
8875,24.85,16.7824932986
19853,55.5884,17.2673685268
22300,62.44,17.6850780848
21487,60.1636,17.7563633022
13528,37.8784,17.644470752
2103,5.8884,17.4778777412
1334,3.7352,15.8169101268
1205,3.374,15.5232264402
1586,4.4408,15.3971984594
986,2.7608,15.3715925896
2768,7.7504,15.6167386636
1680,4.704,16.0239024418
4650,13.02,16.5961770361
18458,51.6824,16.9589862566
11797,33.0316,16.9081975312
6920,19.376,16.9363644397
670,1.876,15.5994412417
553,1.5484,15.4283722466
1257,3.5196,15.3467639705
936,2.6208,15.3176617453
592,1.6576,15.4445784809
2167,6.0676,15.6651820464
5442,15.2376,15.9685016955
10816,30.2848,16.0514108586
370,1.036,15.7500017514
731,2.0468,15.4614442241
808,2.2624,15.4780691406
1391,3.8948,15.5553566499
1196,3.3488,15.5413235105
1076,3.0128,15.5352744675
938,2.6264,15.6473220574
423,1.1844,15.6628061526
452,1.2656,15.3337822125
696,1.9488,15.3725186261
458,1.2824,15.5718618505
1001,2.8028,15.6795399999
582,1.6296,15.4190345326
