milano_sum_cs,Ha SUOLO CONSUMATO PER KM2,Annual
12382,34.6696,17.7174659818
7313,20.4764,17.6549895865
14962,41.8936,17.8378615328
6931,19.4068,17.768597493
8623,24.1444,17.8285957911
11214,31.3992,17.8351695059
21229,59.4412,17.811334702
21205,59.374,17.7153484949
11558,32.3624,17.7320242715
16345,45.766,17.8211699664
23134,64.7752,18.0827359955
27081,75.8268,18.2720756618
15149,42.4172,18.2692741811
9072,25.4016,17.7551829892
22375,62.65,17.7738738441
24142,67.5976,17.8758977156
21147,59.2116,18.0705055323
21141,59.1948,18.0342217639
24239,67.8692,18.0759802249
24066,67.3848,18.1710485505
26727,74.8356,18.2403193781
22622,63.3416,18.2409610374
24388,68.2864,18.3476564374
28005,78.414,18.5077344399
30772,86.1616,18.5278143509
29606,82.8968,18.2713311562
28230,79.044,18.0682098994
18924,52.9872,17.7030121306
15230,42.644,17.4774083946
7342,20.5576,16.6493048366
15348,42.9744,17.3034309923
21658,60.6424,17.6432636028
26611,74.5108,17.8316631707
28597,80.0716,18.0348943372
26234,73.4552,18.1253525465
21022,58.8616,18.2904597762
31407,87.9396,18.4996570261
30026,84.0728,18.6618045193
26847,75.1716,18.7645452888
27276,76.3728,18.8198513267
27533,77.0924,18.7998272347
29391,82.2948,18.826304254
27216,76.2048,18.4789289819
28745,80.486,17.955237374
11552,32.3456,17.4890195624
4856,13.5968,16.6830200193
7070,19.796,16.5694551115
2511,7.0308,16.5591831243
10312,28.8736,16.7344831336
11174,31.2872,17.0967157513
14207,39.7796,17.4642807212
13503,37.8084,17.6808463928
26685,74.718,17.9849813874
30552,85.5456,18.3740141485
30177,84.4956,18.7120063445
29937,83.8236,18.8761756226
33248,93.0944,19.0629318421
30962,86.6936,19.0879377193
34150,95.62,19.1817679534
32487,90.9636,19.0484182059
31602,88.4856,18.7326337308
20625,57.75,18.1945586131
13072,36.6016,17.7301865323
2033,5.6924,16.8332778292
14129,39.5612,16.8950647295
7316,20.4848,16.9977975675
9463,26.4964,17.2411223589
19714,55.1992,17.5365925965
14132,39.5696,17.8044475197
26376,73.8528,18.1387057119
35661,99.8508,18.4523196498
30866,86.4248,18.6069578567
30227,84.6356,18.7501173808
34839,97.5492,18.9088888633
30864,86.4192,19.0983831409
34560,96.768,19.1323393988
32474,90.9272,19.0138619921
30667,85.8676,18.6971241387
29301,82.0428,18.3157624357
20817,58.2876,17.9587627342
7670,21.476,17.2744654884
15052,42.1456,17.3979510633
4560,12.768,17.3967048723
15992,44.7776,17.4715606606
18764,52.5392,17.7097939116
28421,79.5788,18.0090540983
29835,83.538,18.3263721328
27856,77.9968,18.6147762502
29438,82.4264,18.8413589933
21441,60.0348,18.9441981679
34072,95.4016,19.0376713507
28820,80.696,19.0654797427
33117,92.7276,18.8463373043
31877,89.2556,18.7911755611
30516,85.4448,18.5501289922
18745,52.486,18.0681281037
15361,43.0108,17.6931718687
9470,26.516,17.5028199727
4799,13.4372,16.3931227793
12046,33.7288,16.7317990407
12036,33.7008,17.1666852372
21012,58.8336,17.5171782905
13006,36.4168,17.5649571853
17929,50.2012,17.723164412
16319,45.6932,17.9320074459
25084,70.2352,18.0113040648
23564,65.9792,18.1628775632
29664,83.0592,18.4501731693
29876,83.6528,18.7296918168
31827,89.1156,18.8570879401
33656,94.2368,18.9276390778
31466,88.1048,18.8843022414
30620,85.736,18.8490182794
27946,78.2488,18.7151174191
30894,86.5032,18.6118274885
21259,59.5252,18.2556612869
17133,47.9724,17.7566729141
10262,28.7336,17.3968554603
1796,5.0288,16.1508656126
773,2.1644,16.4117842094
6897,19.3116,16.6299922321
4506,12.6168,17.0004267923
19805,55.454,17.8971640773
23190,64.932,17.8828821164
27570,77.196,17.9946736221
30820,86.296,18.1643306373
29612,82.9136,18.3260334664
31625,88.55,18.456036674
25828,72.3184,18.5003229866
28279,79.1812,18.510562125
28789,80.6092,18.558249696
26723,74.8244,18.397091497
29113,81.5164,18.1566275106
21581,60.4268,17.9293493668
21887,61.2836,17.5440565952
10093,28.2604,17.321832884
1189,3.3292,16.9194032785
10799,30.2372,17.1909109418
13558,37.9624,17.1825347384
22517,63.0476,17.4626087171
18612,52.1136,17.7649884672
29281,81.9868,17.8484087254
23761,66.5308,17.7657431601
26300,73.64,17.622562249
22521,63.0588,17.5312388095
22904,64.1312,17.4338219007
23436,65.6208,17.3505858617
21581,60.4268,17.2979400377
8694,24.3432,17.276103895
10251,28.7028,17.0801673289
2007,5.6196,16.7426236362
4521,12.6588,16.3749269759
8012,22.4336,16.5438768164
14361,40.2108,16.8690030965
17185,48.118,16.9368094476
5407,15.1396,16.7455687298
12693,35.5404,16.4560063568
8052,22.5456,16.2084951798
7906,22.1368,16.1833764491
13315,37.282,16.3585898054
18368,51.4304,16.6205042105
7934,22.2152,16.8870491729
9068,25.3904,16.7859046749
24079,67.4212,16.5827368287
3487,9.7636,16.1770723507
1803,5.0484,16.0073637087
6149,17.2172,15.8456036912
285,0.798,15.81902209
3982,11.1496,16.0090295212
11486,32.1608,16.3649139794
10288,28.8064,16.3869851587
3100,8.68,15.9765554744
3347,9.3716,15.9214309536
9576,26.8128,15.8859009943
3945,11.046,16.224287344
982,2.7496,15.8417261491
